Company,Rank,Year,Revenue (in millions),Profit (in millions)
"Northwest Airlines, Inc.",147,1997,9880.5,
"Sun Company, Inc.",148,1997,9875,
CPC International Inc.,149,1997,9844.3,
"Apple Computer, Inc.",150,1997,9833,
"Farmland Industries, Inc.",151,1997,9788.6,
Gillette Company,152,1997,9697.7,
PG&E Corp.,153,1997,9610,
Pacific Telesis Group,154,1997,9588,
Bankers Trust New York Corporation,155,1997,9565,
Westinghouse Electric Corporation,156,1997,9401,
The Principal Financial Group,157,1997,9387,
Textron Inc.,158,1997,9274,
Monsanto Company,159,1997,9262,
Massachusetts Mutual Life Insurance,160,1997,9230,
H.J. Heinz Company,161,1997,9112.3,
"Dean Witter, Discover & Co.",162,1997,9028.6,
"Salomon, Inc.",163,1997,9002,
Amerada Hess Corporation,164,1997,8929.7,
Norwest Corporation,165,1997,8882.9,
"Cardinal Health, Inc.",166,1997,8862.4,
Colgate-Palmolive Company,167,1997,8749,
John Hancock Mutual Life Insurance Company,168,1997,8743.5,
Wells Fargo & Company,169,1997,8723,
Whirlpool Corporation,171,1997,8696,
Microsoft Corporation,172,1997,8671,
"The Limited, Inc.",173,1997,8664.8,
"Seagate Technology, Inc.",175,1997,8588.4,
Unocal Corporation,176,1997,8587.5,
Edison International,177,1997,8545,
CVS Corporation,178,1997,8345.9,
"Crown Cork & Seal Company, Inc.",179,1997,8331.9,
General Re Corporation,180,1997,8295.7,
Ultramar Diamond Shamrock Corporation,181,1997,8208.4,
Burlington Northern Santa Fe Corp.,182,1997,8187,
"US Airways Group, Inc.",183,1997,8142.4,
Woolworth Corporation,184,1997,8092.4,
Northrop Grumman Corporation,185,1997,8071,
"Fleet Financial Group, Inc.",186,1997,8043,
"Tele-Communications, Inc.",187,1997,8022,
"Coca-Cola Enterprises, Inc.",188,1997,7921,
Dana Corporation,189,1997,7890.7,
Dell Computer Corporation,190,1997,7759,
Campbell Soup Company,191,1997,7678,
PanEnergy Corp.,192,1997,7536.8,
Halliburton Company,193,1997,7385.1,
Eli Lilly & Company,194,1997,7346.6,
"Honeywell, Inc.",195,1997,7311.6,
"Pharmacia & Upjohn, Inc.",196,1997,7286,
NGC Corporation,197,1997,7260.2,
Warner-Lambert Company,198,1997,7231.4,
"PPG Industries, Inc.",199,1997,7218.1,
Best Buy Co. Inc.,200,1997,7217.4,
Entergy Corporation,201,1997,7163.5,
"AFLAC, Inc.",202,1997,7100.2,
"Sun Microsystems, Inc.",203,1997,7094.8,
"Circuit City Group, Inc.",204,1997,7029.1,
Reynolds Metals Company,205,1997,7016,
American General Corporation,206,1997,6979,
Eaton Corporation,207,1997,6961,
"Consolidated Edison Company of New York, Inc.",208,1997,6959.7,
Unicom Corporation,209,1997,6937,
Guardian Life Insurance Co. of America,210,1997,6904.1,
Lincoln National Corporation,211,1997,6882.8,
United Services Automobile Association,212,1997,6831.1,
Humana Inc.,213,1997,6788,
Ingersoll-Rand Company,214,1997,6702.9,
"The TJX Companies, Inc.",215,1997,6689.4,
Kellogg Company,216,1997,6676.6,
R.R. Donnelley & Sons Company,217,1997,6599,
ITT Corporation,218,1997,6597,
"Dresser Industries, Inc.",219,1997,6561.5,
Texas Utilities Company,220,1997,6550.9,
Arrow Electronics,221,1997,6534.6,
Chubb Corporation,222,1997,6497.4,
"Nike, Inc.",223,1997,6470.6,
"Tyson Foods, Inc.",224,1997,6453.8,
"Dillard Department Stores, Inc.",225,1997,6412.1,
Unisys Corporation,226,1997,6370.5,
"Continental Airlines, Inc.",227,1997,6360,
PNC Bank Corp.,228,1997,6333.8,
Tandy Corporation,229,1997,6285.5,
Transamerica Corporation,230,1997,6277.6,
"Anthem Insurance Companies,Inc.",231,1997,6269.6,
Lear Corporation,232,1997,6249.1,
Bank of Boston Corporation,233,1997,6237,
"Public Service Enterprise Group, Inc.",234,1997,6169.6,
ARAMARK Corporation,235,1997,6122.5,
Ralston Purina Company,236,1997,6114.3,
Union Carbide Corporation,237,1997,6106,
"The St. Paul Companies, Inc.",238,1997,6095.2,
Manpower Inc.,239,1997,6079.9,
"Office Depot, Inc.",240,1997,6068.6,
KeyCorp,241,1997,6038,
"FPL Group, Inc.",242,1997,6036.8,
Champion International Corporation,243,1997,5880.4,
"American Electric Power Company, Inc.",244,1997,5849.2,
"American Standard Companies, Inc.",245,1997,5804.6,
"SCI Systems, Inc.",245,1997,6805.9,
"Browning-Ferris Industries, Inc.",246,1997,5779.3,
"American Brands, Inc.",247,1997,5776.3,
"Borden, Inc.",248,1997,5765.1,
Navistar International Corporation,249,1997,5754,
Genuine Parts Company,250,1997,5720.5,
The Bank of New York Company,251,1997,5713,
Paine Webber Group Inc.,252,1997,5706,
James River Corporation of Virginia,253,1997,5690.5,
Schering-Plough Corporation,254,1997,5655.8,
Tenet Healthcare Corporation,255,1997,5559,
AmeriSource Health Corporation,256,1997,5551.7,
"Merisel, Inc.",257,1997,5522.8,
"Ryder System, Inc.",258,1997,5519.4,
Central & South West Corporation,259,1997,5517,
Avatex Corporation,260,1997,5502.3,
AMP Inc.,261,1997,5468,
Rite Aid Corporation,262,1997,5446,
Baxter International Inc.,263,1997,5438,
"General Mills, Inc.",264,1997,5416,
Case Corporation,265,1997,5409,
"The Vons Companies, Inc.",266,1997,5407.4,
Food 4 Less Holdings,267,1997,5342.7,
"Bindley Western Industries, Inc.",268,1997,5318.9,
"The Gap, Inc.",269,1997,5284.4,
"Cooper Industries, Inc.",270,1997,5283.7,
W.R. Grace & Co.,271,1997,5262.4,
"Cummins Engine Company, Inc.",272,1997,5257,
"Avnet, Inc.",273,1997,5207.8,
The Quaker Oats Company,274,1997,5199,
Stone Container Corporation,275,1997,5141.8,
VF Corporation,276,1997,5137.2,
Boise Cascade Corporation,277,1997,5122.7,
FMC Corporation,278,1997,5121.9,
Tyco International Ltd.,279,1997,5089.8,
"Revco D.S., Inc.",280,1997,5087.7,
Lyondell Petrochemical Company,281,1997,5082,
"Household International, Inc.",282,1997,5058.8,
Millennium Chemicals Inc.,283,1997,5057,
"Gateway 2000, Inc.",284,1997,5035.2,
Eckerd Corporation,285,1997,4997.1,
"Illinois Tool Works, Inc.",286,1997,4996.7,
Valero Energy Corporation,287,1997,4990.7,
"The Bear Stearns Companies, Inc.",288,1997,4963.9,
First Data Corporation,289,1997,4938.1,
National City Corporation,290,1997,4928.4,
The Black & Decker Corporation,291,1997,4914.4,
"Dominion Resources, Inc.",292,1997,4842.3,
"Avon Products, Inc.",293,1997,4814.2,
"MedPartners, Inc.",294,1997,4813.5,
"Thrifty Payless Holdings, Inc.",295,1997,4798.9,
NorAm Energy Corp.,296,1997,4788.5,
Eastman Chemical Company,297,1997,4782,
Norfolk Southern Corporation,298,1997,4770,
Mellon Bank Corporation,299,1997,4762,
Duke Power Company,300,1997,4758,
The Mead Corporation,301,1997,4706.5,
Bethlehem Steel Corporation,302,1997,4679,
"Gannett Co., Inc.",303,1997,4665.1,
"PacifiCare Health Systems, Inc.",304,1997,4637.3,
Tech Data Corporation,305,1997,4598.9,
Paccar Inc.,306,1997,4584.7,
"Inland Steel Industries, Inc.",307,1997,4584.1,
"WorldCom, Inc.",309,1997,4485.1,
"Nordstrom, Inc.",310,1997,4453.1,
"Praxair, Inc.",311,1997,4449,
Quantum Corporation,312,1997,4422.7,
Allegiance Corporation,313,1997,4387.2,
"Waban, Inc.",314,1997,4375.5,
CMS Energy Corporation,315,1997,4333,
UtiliCorp United Inc.,316,1997,4332.3,
"PacifiCorp, Inc.",317,1997,4293.8,
PECO Energy Company,318,1997,4283.7,
Computer Sciences Corporation,319,1997,4242.4,
Oracle Corporation,320,1997,4223.3,
Corning Inc.,321,1997,4199.5,
Mutual of Omaha Insurance Companies,322,1997,4199.1,
CoreStates Financial Corporation,323,1997,4197.3,
Aon Corporation,324,1997,4191.2,
FHP International Corporation,325,1997,4179.3,
"WellPoint Health Networks, Inc.",326,1997,4169.8,
"Marsh & McLennan Companies, Inc.",327,1997,4149,
"Applied Materials, Inc.",328,1997,4144.8,
The LTV Corporation,329,1997,4134.5,
The Sherwin-Williams Company,330,1997,4132.9,
"American Financial Group, Inc.",331,1997,4115.4,
"Cisco Systems, Inc.",332,1997,4096,
Houston Industries Incorporated,333,1997,4095.3,
Dover Corporation,334,1997,4076.3,
Supermarkets General Holdings Corporation,335,1997,4065.9,
"SunTrust Banks, Inc.",336,1997,4064,
Unum Corporation,337,1997,4042.7,
Foster Wheeler Corporation,338,1997,4040.6,
Comcast Corporation,339,1997,4038.4,
"Air Products & Chemicals, Inc.",340,1997,4033,
Wachovia Corporation,341,1997,4015,
Union Camp Corporation,342,1997,4013.2,
Niagara Mohawk Power Corporation,343,1997,3990.7,
Hershey Foods Corporation,344,1997,3989.3,
Rohm & Haas Company,345,1997,3982,
SAFECO Corporation,346,1997,3977.3,
"Owens-Illinois, Inc.",347,1997,3976.2,
"Staples, Inc.",348,1997,3967.7,
"Service Merchandise Company, Inc.",349,1997,3955,
Hilton Hotels Corporation,350,1997,3940,
"GPU, Inc.",351,1997,3918.1,
"Giant Food, Inc.",352,1997,3860.6,
"Pitney Bowes, Inc.",353,1997,3858.6,
"Dole Food Company, Inc.",354,1997,3840.3,
"First Bank System, Inc.",355,1997,3839.6,
Owens-Corning,356,1997,3832,
CompUSA Inc.,357,1997,3829.8,
"Barnett Banks, Inc.",358,1997,3816.3,
Allegheny Teledyne Incorporated,359,1997,3815.6,
Consolidated Natural Gas Company,360,1997,3794.3,
Northeast Utilities Service Company,361,1997,3792.1,
Phelps Dodge Corporation,362,1997,3786.6,
"Mattel, Inc.",363,1997,3786,
H.F. Ahmanson & Company,364,1997,3766.6,
"Fred Meyer, Inc.",365,1997,3724.8,
Conrail Inc.,366,1997,3714,
"Morton International, Inc.",367,1997,3686.2,
CNF Transportation Inc.,368,1997,3662.2,
Harris Corporation,369,1997,3659.3,
"Micron Technology, Inc.",370,1997,3653.8,
Nucor Corporation,371,1997,3647,
DTE Energy Company,372,1997,3645.4,
Providian Corporation,373,1997,3622.2,
"Litton Industries, Inc.",374,1997,3611.5,
General Dynamics Corporation,375,1997,3609,
Student Loan Marketing Association,376,1997,3590.1,
LG&E Energy Corporation,377,1997,3589.5,
Parker Hannifin Corporation,378,1997,3586.4,
Universal Corporation,379,1997,3570.2,
"Automatic Data Processing, Inc.",380,1997,3566.6,
Great Western Financial Corporation,381,1997,3565.8,
Foundation Health Corporation,382,1997,3561.4,
"Trans World Airlines, Inc.",383,1997,3554.4,
"Intelligent Electronics, Inc.",384,1997,3547.8,
"W.W. Grainger, Inc.",385,1997,3537.2,
"The Williams Companies, Inc.",386,1997,3531.2,
"MicroAge, Inc.",387,1997,3516.4,
"Computer Associates International, Inc.",388,1997,3504.6,
USF&G Corporation,389,1997,3497.4,
Reebok International Ltd.,390,1997,3482.9,
The Progressive Corporation,391,1997,3478.4,
"MAPCO, Inc.",392,1997,3474,
Temple-Inland Inc.,393,1997,3460,
The ServiceMaster Company L.P.,394,1997,3458.3,
Pacific Mutual Life Insurance,395,1997,3454.2,
Jefferson Smurfit Corporation,397,1997,3410,
"Washington Mutual, Inc.",398,1997,3408.5,
Southwest Airlines Co.,399,1997,3406.2,
The Times Mirror Company,400,1997,3401,
Sonat Inc.,401,1997,3394.9,
The Olsten Corporation,402,1997,3377.7,
American Family Insurance Group,403,1997,3328,
Nash Finch Company,404,1997,3322.7,
The Turner Corporation,405,1997,3317.8,
"Kelly Services, Inc.",406,1997,3302.3,
The Penn Traffic Company,407,1997,3296.5,
"Harcourt General, Inc.",408,1997,3289.9,
"Beverly Enterprises, Inc.",409,1997,3281,
Republic New York Corporation,410,1997,3279.2,
MBNA Corporation,411,1997,3279.2,
Allmerica Financial Corporation,412,1997,3274.7,
"The Columbia Gas System, Inc.",413,1997,3269.8,
"Richfood Holdings, Inc.",414,1997,3250.9,
CINergy Corp.,415,1997,3242.7,
Masco Corporation,416,1997,3237,
Avery Dennison Corporation,417,1997,3222.5,
Florida Progress Corporation,418,1997,3221.1,
York International Corporation,419,1997,3218.5,
"Health Systems International, Inc.",420,1997,3204.2,
"Shaw Industries, Inc.",421,1997,3201,
"Willamette Industries, Inc.",422,1997,3552.2,
The Est_e Lauder Companies Inc.,422,1997,3194.5,
ALLTEL Corporation,423,1997,3192.4,
"Darden Restaurants, Inc.",424,1997,3191.8,
Engelhard Corporation,425,1997,3184.4,
"OfficeMax, Inc.",426,1997,3179.3,
Brunswick Corporation,427,1997,3160.3,
"Alumax, Inc.",428,1997,3159.3,
Baltimore Gas & Electric Company,429,1997,3153.2,
Long Island Lighting Company,430,1997,3150.7,
Echlin Inc.,431,1997,3128.7,
Whitman Corporation,432,1997,3111.3,
Olin Corporation,433,1997,3109,
The Pittston Company,434,1997,3106.6,
Centex Corporation,435,1997,3103,
InaCom Corp.,436,1997,3102.1,
Hormel Foods Corporation,437,1997,3098.7,
"The Reader's Digest Association, Inc.",438,1997,3098.1,
"Reliance Group Holdings, Inc.",439,1997,3090.6,
"Oxford Health Plans, Inc.",440,1997,3075,
"The McGraw-Hill Companies, Inc.",441,1997,3074.7,
Westvaco Corporation,442,1997,3074.5,
Yellow Corporation,443,1997,3072.6,
"Comerica, Inc.",444,1997,3069.7,
U.S. Bancorp,445,1997,3068.5,
"Conseco, Inc.",446,1997,3065.4,
"Mercantile Stores Company, Inc.",447,1997,3030.8,
Baker Hughes Incorporated,448,1997,3027.7,
"Owens & Minor, Inc.",449,1997,3019,
El Paso Natural Gas Company,450,1997,3010.1,
Maytag Corporation,452,1997,3001.7,
"Graybar Electric Company, Inc.",453,1997,3001,
Carolina Power & Light Company,454,1997,2995.7,
IMC Global Inc.,455,1997,2981,
Hannaford Bros. Co.,456,1997,2958.6,
Thermo Electron Corporation,458,1997,2932.6,
Aid Association for Lutherans,459,1997,2924.1,
"Silicon Graphics, Inc.",460,1997,2921.3,
"Hasbro, Inc.",461,1997,2890,
"Harnischfeger Industries, Inc.",462,1997,2887.6,
"Bruno's, Inc.",463,1997,2879.4,
Interstate Bakeries Corporation,464,1997,2878.2,
Newell Company,465,1997,2872.8,
Western Digital Corporation,466,1997,2865.2,
"Hughes Supply, Inc.",466,1997,3060.1,
"Fleetwood Enterprises, Inc.",467,1997,2861.5,
Cyprus Amax Minerals Company,468,1997,2843,
Longs Drug Stores Corporation,469,1997,2828.3,
Solectron Corporation,470,1997,2817.2,
Dean Foods Company,471,1997,2814.3,
PP&L Resources,472,1997,2805,
Sonoco Products Company,473,1997,2788.1,
Knight-Ridder Inc.,474,1997,2774.8,
Beneficial Corporation,475,1997,2771.9,
"Becton, Dickinson and Company",476,1997,2769.8,
State Street Corp.,477,1997,2744.4,
Ace Hardware Corporation,478,1997,2742.5,
General American Life Insurance,479,1997,2740.5,
APL Limited,480,1997,2739.1,
Phoenix Home Life Mutual Insurance,481,1997,2725,
"Caliber System, Inc.",482,1997,2718.1,
Lutheran Brotherhood,483,1997,2713.2,
The Caldor Corporation,484,1997,2698.4,
"Asarco, Inc.",485,1997,2696.7,
General Instrument Corporation,486,1997,2689.7,
The Stanley Works,487,1997,2670.8,
Golden West Financial Corporation,488,1997,2656.5,
Northern States Power Company,489,1997,2654.2,
"Payless Cashways, Inc.",490,1997,2650.9,
Boston Scientific Corporation,490,1997,2839,
Consolidated Stores Corporation,491,1997,2647.5,
Omnicom Group Inc.,492,1997,2641.7,
The New York Times Company,494,1997,2615,
Witco Corporation,495,1997,2596.3,
USG Corporation,496,1997,2590,
Pacific Enterprises,497,1997,2588,
National Semiconductor Corporation,498,1997,2583.5,
Western Atlas Inc.,499,1997,2582.8,
"Vencor, Inc.",500,1997,2577.8,
General Motors Corporation,1,1998,178174,
Ford Motor Company,2,1998,153627,
Exxon Corporation,3,1998,122379,
"Wal-Mart Stores, Inc.",4,1998,119299,
General Electric Company,5,1998,90840,
International Business Machines Corporation,6,1998,78508,
Chrysler Corporation,7,1998,61147,
Mobil Corporation,8,1998,59978,
Philip Morris Companies Inc.,9,1998,56114,
AT&T Corp.,10,1998,53261,
The Boeing Company,11,1998,45800,
Texaco Inc.,12,1998,45187,
State Farm Insurance Companies,13,1998,43957,
Hewlett-Packard Company,14,1998,42895,
"E.I. du Pont de Nemours and Company, Inc.",15,1998,41304,
"Sears, Roebuck and Co.",16,1998,41296,
Travelers Group Inc.,17,1998,37609,
Prudential Insurance Company of America,18,1998,37073,
Chevron Corporation,19,1998,36376,
The Procter & Gamble Company,20,1998,35764,
Citicorp,21,1998,34697,
Amoco,22,1998,32836,
Kmart Corporation,23,1998,32183,
"Merrill Lynch & Co., Inc.",24,1998,31731,
"J.C. Penney Company, Inc.",25,1998,30546,
"American International Group,Inc.",26,1998,30519.5,
The Chase Manhattan Corporation,27,1998,30381,
Bell Atlantic Corporation,28,1998,30193.9,
"Motorola, Inc.",29,1998,29794,
Teachers Insurance and Annuity Association College Retiremen,30,1998,29348.4,
"PepsiCo, Inc.",31,1998,29292,
Lockheed Martin Corporation,32,1998,28069,
Fannie Mae,33,1998,27776.9,
"Morgan Stanley, Dean Witter, Discover & Co.",35,1998,27132,
The Kroger Company,36,1998,26567.3,
Lucent Technologies,37,1998,26360,
Intel Corporation,38,1998,25070,
The Allstate Corporation,39,1998,24949,
"SBC Communications, Inc.",40,1998,24856,
United Technologies Corporation,41,1998,24713,
Compaq Computer Corporation,42,1998,24584,
Metropolitan Life Insurance Co.,43,1998,24374,
"The Home Depot, Inc.",44,1998,24155.7,
"ConAgra, Inc.",45,1998,24002.1,
"Merck & Co., Inc.",46,1998,23636.9,
BankAmerica Corporation,47,1998,23585,
GTE Corporation,48,1998,23260,
Johnson & Johnson,49,1998,22629,
Safeway Inc.,50,1998,22483.8,
The Walt Disney Company,51,1998,22473,
"United Parcel Service of America, Inc.",52,1998,22458,
"Costco Companies, Inc.",53,1998,21874.4,
NationsBank Corporation,54,1998,21734,
USX Corporation,55,1998,21057,
BellSouth Corporation,56,1998,20561,
Enron,57,1998,20273,
CIGNA Corporation,59,1998,20038,
The Dow Chemical Company,60,1998,20018,
Sara Lee Corporation,61,1998,19734,
MCI Communications Corporation,62,1998,19653,
Loews Corporation,63,1998,19647.8,
Atlantic Richfield Company,64,1998,19272,
American Stores Company,65,1998,19138.9,
"Caterpillar, Inc.",66,1998,18925,
New York Life Insurance Company,67,1998,18899.3,
The Coca-Cola Company,68,1998,18868,
Columbia/HCA Healthcare Corp.,69,1998,18819,
AMR Corporation,70,1998,18570,
"Aetna, Inc.",71,1998,18540.2,
Xerox Corporation,72,1998,18166,
American Express Company,73,1998,17760,
J.P. Morgan & Co. Incorporated,74,1998,17701,
UAL Corporation,75,1998,17378,
RJR Nabisco Holdings Corporation,76,1998,17057,
"Lehman Brothers Holdings, Inc.",77,1998,16883,
Bristol-Myers Squibb Company,78,1998,16701.2,
"Ingram Micro, Inc.",79,1998,16581.5,
"Supervalu, Inc.",80,1998,16551.9,
Duke Energy Corporation,81,1998,16308.9,
Ameritech Corporation,82,1998,15998,
"Federated Department Stores, Inc.",83,1998,15668.3,
PG&E Corporation,85,1998,15399.9,
"Fleming Companies, Inc.",86,1998,15372.7,
"U S WEST, Inc.",87,1998,15352,
Electronic Data Systems Corporation,88,1998,15235.6,
Minnesota Mining and Manufacturing Company,89,1998,15070,
Sprint Corporation,90,1998,14873.9,
Eastman Kodak Company,91,1998,14713,
Phillips Petroleum Company,92,1998,14689.5,
Di Giorgio Corporation,92,1998,16005.1,
AlliedSignal Inc.,93,1998,14472,
Sysco Corporation,94,1998,14454.6,
Federal Home Loan Mortgage Corp.,95,1998,14399,
First Union Corporation,96,1998,14329,
Fluor Corporation,97,1998,14298.5,
American Home Products Corporation,98,1998,14196,
